,Duration,Total_Coverage,Coverage_Above_Existing,Coverage_Above_Initial,Percent_Coverage,Percent_Coverage_Above_Existing,Percent_Coverage_Above_Initial,Algorithm
0,6.615840800603231,818020.4698872159,11843.994897557874,1067.5529188255314,0.5515017393357982,0.007985110430779414,0.0007197341793249541,First-Choice Hill Climbing
1,6.187895139058431,816263.4389079355,12903.586628696537,0.0,0.5503171655056669,0.008699477251929221,0.0,First-Choice Hill Climbing
2,6.179981358846029,819236.9537623583,10398.270480704336,2477.707428848371,0.5523218813710059,0.0070104165693838805,0.0016704471426778654,First-Choice Hill Climbing
3,6.020996391773224,816542.2837392752,10502.387293692631,262.8923038264038,0.5505051600793355,0.0070806111495574815,0.00017723952902822418,First-Choice Hill Climbing
4,6.009575053056081,816648.6225943412,9636.216313492207,480.6288926578127,0.5505768527394665,0.006496646787139279,0.0003240354979287601,First-Choice Hill Climbing
5,6.0272625883420305,816693.0148890908,10137.177858443027,106.77142934862059,0.5506067816088149,0.0068343903688112845,7.19842976609769e-05,First-Choice Hill Climbing
6,5.996126270294189,816634.8497695352,13274.997490296324,0.0,0.5505675672299767,0.008949878976239044,0.0,First-Choice Hill Climbing
7,6.068773253758748,816941.2355054636,10667.561123607338,113.55798394232988,0.5507741296235747,0.0071919697986916244,7.655972920616067e-05,First-Choice Hill Climbing
8,5.993186370531718,816551.1122369485,13191.259957709504,0.0,0.5505111121697803,0.008893423916042706,0.0,First-Choice Hill Climbing
9,6.02003059387207,817091.5905267866,10438.397699083907,325.7408296284266,0.5508754975707473,0.007037469964189627,0.00021961141649368728,First-Choice Hill Climbing
10,6.02712953488032,817431.5727105845,10901.562619587396,610.5750304905232,0.5511047103748395,0.007349731415656996,0.00041164396699872117,First-Choice Hill Climbing
11,6.01801811059316,816847.8009303557,13487.9486511167,0.0,0.5507111369081319,0.009093448654394173,0.0,First-Choice Hill Climbing
12,6.04406433502833,817176.9241910202,10475.10338608036,300.0122976604616,0.5509330287279507,0.007062216594582447,0.00020226548121061826,First-Choice Hill Climbing
13,5.974555436770121,816120.3574183861,12760.505139147128,0.0,0.5502207013054934,0.00860301305175568,0.0,First-Choice Hill Climbing
14,5.995884315172831,816188.3905273393,10545.691997094173,163.42213024722878,0.5502665685903613,0.0071098067750051735,0.00011017766962449522,First-Choice Hill Climbing
15,6.007463077704112,817952.0945552674,10939.688274418317,1060.7048978299135,0.551455641327392,0.007375435375064599,0.000715117307707289,First-Choice Hill Climbing
16,6.01241315205892,816010.7623482783,9967.24494982367,181.40023505722638,0.5501468133356784,0.0067198231933873155,0.0001222983395070496,First-Choice Hill Climbing
17,6.027762869993846,816547.4472976066,10514.718086462186,34.13731221528724,0.5505086413020014,0.007088924454554284,2.3015056170386338e-05,First-Choice Hill Climbing
18,5.993396461009979,817513.4990354775,10044.523504427352,893.6218245356577,0.5511599443357722,0.006771923671121281,0.0006024714645683546,First-Choice Hill Climbing
19,6.000106390317281,816858.3992832933,10302.5622526456,277.6134931189008,0.5507182822184198,0.0069458909784161915,0.00018716441697268232,First-Choice Hill Climbing
20,6.0365179936091105,817000.8339570449,10901.566176598391,795.8944877680624,0.5508143103414403,0.0073497338137604945,0.0005365846094198336,First-Choice Hill Climbing
21,6.053529949982961,816884.3962359744,10580.215979731563,67.92469733685721,0.5507358091204336,0.007133082520752641,4.5794194771555366e-05,First-Choice Hill Climbing
22,6.046107534567515,818806.335755978,10234.372614476326,2086.1144756329013,0.5520315627442107,0.0068999181630168185,0.0014064388412233198,First-Choice Hill Climbing
23,6.008680049578349,816733.9593034973,13374.107024258303,0.0,0.5506343859495283,0.009016697695790558,0.0,First-Choice Hill Climbing
24,6.026693232854208,816286.0351590703,12926.18287983136,0.0,0.5503323996865487,0.008714711432811079,0.0,First-Choice Hill Climbing
25,6.046213062604268,816679.9020123411,9667.495731492168,456.56925020122435,0.5505979410301236,0.00651773507779632,0.00030781471232368187,First-Choice Hill Climbing
26,6.041236742337545,816179.4552172486,9623.618186600936,62.126582768862136,0.550260544487985,0.0064881532479814305,4.188516023412088e-05,First-Choice Hill Climbing
27,6.012754348913829,817019.2268364461,10919.959055999554,176.39286419108976,0.5508267106484676,0.007362134120787694,0.00011892241696741621,First-Choice Hill Climbing
28,6.025099682807922,816747.2912846876,13387.439005448683,0.0,0.5506433742463813,0.009025685992643693,0.0,First-Choice Hill Climbing
29,6.044980549812317,817117.8134752361,10658.79629256076,288.55402908986434,0.5508931768369916,0.007186060631690169,0.00019454042385681834,First-Choice Hill Climbing
0,8.09329968293508,818260.6674537712,11248.261172922332,1369.7077506037895,0.5516636782855139,0.007583472333186583,0.0009234441369711242,Random Restart Hill Climbing with Simulated Annealing
1,7.828072782357534,818426.6375358801,11414.231255031085,1526.0058861866128,0.5517755737604196,0.007695367808092368,0.0010288188761151873,Random Restart Hill Climbing with Simulated Annealing
2,8.397893571853638,816542.0059412614,13182.153662022485,0.0,0.5505049727905165,0.008887284536778775,0.0,Random Restart Hill Climbing with Simulated Annealing
3,7.685147500038147,819133.2873255339,11207.74254428257,2746.7252100376645,0.5522519904302239,0.007556155053249309,0.0018518164111738092,Random Restart Hill Climbing with Simulated Annealing
4,8.296017563343048,818754.2516468288,11751.023289839071,2302.1779262272175,0.5519964481256346,0.007922429843614114,0.0015521067959947802,Random Restart Hill Climbing with Simulated Annealing
5,8.143250862757364,817056.9297852763,13697.077506037296,0.0,0.5508521296234485,0.009234441369710838,0.0,Random Restart Hill Climbing with Simulated Annealing
6,8.134576626618703,816585.2362239539,10485.968443507369,98.54593659914099,0.5505341182422191,0.00706954171453917,6.643874748806075e-05,Random Restart Hill Climbing with Simulated Annealing
7,8.396689649422964,819989.3424055049,11607.22837405219,3251.354758677655,0.5528291347474514,0.007825484658153116,0.002192032926579059,Random Restart Hill Climbing with Simulated Annealing
8,8.40439614057541,819610.809831384,11687.81416740419,3190.180134755792,0.5525739316312609,0.007879814845276074,0.0021507895680836753,Random Restart Hill Climbing with Simulated Annealing
9,8.241721264521281,817732.4568626316,10795.210271369828,815.9616597470595,0.551307563652112,0.007278029658569522,0.0005501137088218246,Random Restart Hill Climbing with Simulated Annealing
10,8.138762148221334,816962.4289041508,10453.842314065927,329.71859168156516,0.5507884180144754,0.00704788257895846,0.00022229318641476555,Random Restart Hill Climbing with Simulated Annealing
11,8.261458059151968,818148.8512415419,9904.067966365168,1775.735357247875,0.5515882928424835,0.0066772298628461416,0.0011971841465743531,Random Restart Hill Climbing with Simulated Annealing
12,8.106468590100606,817046.2249602859,10490.387929638184,22.565024095238186,0.5508449125306999,0.0070725212906962934,1.521312790423674e-05,Random Restart Hill Climbing with Simulated Annealing
13,7.960948161284128,818067.764774772,11055.358493922951,1503.4328133692034,0.5515336251060313,0.00745341915370397,0.001013600321837846,Random Restart Hill Climbing with Simulated Annealing
14,7.964472810427348,818587.5010813477,11618.584746141601,2276.094236550387,0.5518840264561491,0.007833141017853647,0.00153452141671075,Random Restart Hill Climbing with Simulated Annealing
15,7.984905473391215,821058.4909337409,12676.376902288208,4891.0252109650755,0.5535499446716967,0.008546294582398372,0.0032974833885934195,Random Restart Hill Climbing with Simulated Annealing
16,8.103982627391815,819050.2457395628,11581.270208512538,2532.8444836474955,0.5521960045707177,0.007807983906066731,0.0017076200286177039,Random Restart Hill Climbing with Simulated Annealing
17,8.126881849765777,817018.9208701008,10919.653089654421,41.8870261994889,0.5508265043688233,0.007361927841143441,2.8239840755827638e-05,Random Restart Hill Climbing with Simulated Annealing
18,8.265650184949239,817168.5840643719,10355.270831617441,393.04187832865864,0.5509274058926769,0.006981426608698031,0.00026498515319543347,Random Restart Hill Climbing with Simulated Annealing
19,8.26864953438441,818889.1846046023,11420.20907355207,2121.3438808011124,0.5520874186620028,0.007699397997351826,0.0014301901762341818,Random Restart Hill Climbing with Simulated Annealing
20,7.862788955370585,818047.3055763206,11491.468545672937,2069.837342993007,0.5515198317060533,0.00774744046604974,0.0013954649508467881,Random Restart Hill Climbing with Simulated Annealing
21,7.9993859728177386,819341.850006187,11470.968298453481,2920.193589954637,0.5523926014361521,0.007733619391376752,0.0019687671682339153,Random Restart Hill Climbing with Simulated Annealing
22,7.8341114044189455,818418.5326290703,10036.418597617674,1754.3538357319776,0.551770109508158,0.006766459418859589,0.0011827689250245928,Random Restart Hill Climbing with Simulated Annealing
23,8.119194142023723,818666.4366144807,11654.030333631694,2356.565602637478,0.5519372440532885,0.00785703810096119,0.0015887744580434166,Random Restart Hill Climbing with Simulated Annealing
24,8.122712230682373,817532.4156807531,10520.009399904096,1261.057212458807,0.5511726977608464,0.007092491808519138,0.000850192961759103,Random Restart Hill Climbing with Simulated Annealing
25,8.415379695097606,817500.3740753345,10487.96779448549,1528.7345541587565,0.5511510956105703,0.007070889658242986,0.0010306585185056946,Random Restart Hill Climbing with Simulated Annealing
26,8.018700536092123,817445.6781010159,10889.841070368177,915.0653719002148,0.5511142200969593,0.007341828856955744,0.0006169285033643562,Random Restart Hill Climbing with Simulated Annealing
27,8.131810621420543,816845.9068849098,8920.36210365831,322.9677263274789,0.5507098599604316,0.006014024583456919,0.00021774181622067533,Random Restart Hill Climbing with Simulated Annealing
28,7.999304600556692,818364.3780753101,10895.40254425995,2115.160099842935,0.5517335990152166,0.007345578350565613,0.0014260211290285823,Random Restart Hill Climbing with Simulated Annealing
29,7.695376201470693,817379.4340339551,10823.597003307297,737.6005162906367,0.5510695589673794,0.007297167727375711,0.0004972833598227126,Random Restart Hill Climbing with Simulated Annealing
