,Multiplier,Num_Iterations,Median_Duration,MAD_Duration,Median_Total_Coverage,MAD_Total_Coverage,Median_Coverage_Above_Existing,MAD_Coverage_Above_Existing,Median_Coverage_Above_Initial,MAD_Coverage_Above_Initial,Median_Percent_Coverage,MAD_Percent_Coverage,Median_Percent_Coverage_Above_Existing,MAD_Percent_Coverage_Above_Existing,Median_Percent_Coverage_Above_Initial,MAD_Percent_Coverage_Above_Initial,Algorithm
0,0.1,10.0,0.33662837743759155,0.0006014108657836914,817037.3662652612,18.4424798078835,10956.540964622618,18.442479807787095,187.88948672101833,21.699114475981332,0.5508389400814835,1.243374715687029e-05,0.007386797300960464,1.2433747156793962e-05,0.0001266733322013796,1.462933974891883e-05,First-Choice Hill Climbing
1,0.2,20.0,0.6807008783022562,0.00040732622146610886,817219.8108722605,858.0515287348535,10992.218153451044,1477.7282427715672,263.29548427660484,263.29548427660484,0.5509619425267724,0.0005784903042858058,0.007410850527521165,0.0009962705410862327,0.00017751134951161956,0.00017751134951161956,First-Choice Hill Climbing
2,0.3,30.0,1.0177376945813497,0.002164955933888768,816252.277840665,37.306626571691595,10609.579310419644,352.9874787196586,180.84793121553957,180.84793121553957,0.5503096408186461,2.5151778226151222e-05,0.00715287900328981,0.00023798085212279642,0.00012192598142978276,0.00012192598142978276,First-Choice Hill Climbing
3,0.4,40.0,1.3389126181602478,0.004946466286977147,817286.4047115217,276.53375299391337,10730.567680873972,830.3641480832812,460.48587524413597,460.48587524413597,0.551006839469494,0.00018643646629312727,0.007234448229490428,0.000559823731566469,0.00031045526424506556,0.00031045526424506556,First-Choice Hill Climbing
4,0.5,50.0,1.604502507050832,0.0016624728838603442,816577.7571729468,35.80055768811144,10478.48939250028,867.0585878659513,217.017204216565,217.017204216565,0.5505290759360779,2.4136400690433213e-05,0.007064499408397907,0.0005845627791930957,0.00014631096653086107,0.00014631096653086107,First-Choice Hill Climbing
5,0.6,60.0,1.890824317932129,0.0008714636166891054,817170.4670999976,399.46490205207374,10671.734417498921,540.5036180415991,389.9242272673873,389.9242272671545,0.5509286754176594,0.00026931549563269375,0.007194783394346859,0.00036440247700443486,0.0002628832620493962,0.0002628832620492392,First-Choice Hill Climbing
6,0.7,70.0,2.2604937076568605,0.004273017247517608,816891.2224157734,29.366153010516427,12966.92312642097,564.4470101134575,0.0,0.0,0.5507404112669211,1.9798385320513034e-05,0.008742178125494498,0.0003805448876889137,0.0,0.0,First-Choice Hill Climbing
7,0.8,80.0,2.560905909538269,0.010235317548116019,816874.5159127713,355.682317095343,10705.062052978297,1756.0909214583917,264.05325437290594,192.5159958283184,0.5507291478990678,0.00023979768691617664,0.007217252574045209,0.0011839400519520465,0.00017802223101337993,0.00012979248131030194,First-Choice Hill Climbing
8,0.9,90.0,2.9889347155888877,0.05373340050379438,816773.536072528,486.14504785160534,10778.043385680148,103.775093598686,271.2540138880722,271.2540138880722,0.5506610682365384,0.00032775443809685,0.007266455905020124,6.996419616162129e-05,0.00018287691563722625,0.00018287691563722625,First-Choice Hill Climbing
9,1.0,100.0,3.3871918320655823,0.0036226352055868105,817354.0132127848,639.7216868817341,11971.681685204516,1382.7575614596353,977.8184845698997,977.8184845698997,0.5510524204878341,0.00043129436975430924,0.008071195667114677,0.0009322421972274807,0.0006592360641896227,0.0006592360641896227,First-Choice Hill Climbing
10,2.0,200.0,6.75054574807485,0.001358592510223744,817483.7672647332,352.95766061835457,10674.088686160438,177.01924567235437,456.56925020134076,449.88574590848293,0.5511398994543999,0.00023796074903825737,0.007196370620228711,0.00011934471749548616,0.00030781471232376037,0.0003033087563262563,First-Choice Hill Climbing
0,0.1,10.0,0.34225933949152626,0.0004313786824544641,816757.6733026857,89.53966533066705,12572.811188044716,825.0098354019283,0.0,0.0,0.5506503737056792,6.036680375032244e-05,0.008476471547837004,0.0005562139041044249,0.0,0.0,Random Restart Hill Climbing with Simulated Annealing
1,0.2,20.0,0.8286231557528178,0.016969462235768562,816414.0957649166,140.81735727505293,12913.42612840258,140.81735727507294,0.0,0.0,0.5504187369476131,9.493774339963679e-05,0.008706110950475696,9.493774339972179e-05,0.0,0.0,Random Restart Hill Climbing with Simulated Annealing
2,0.3,30.0,1.3086785356203714,0.019481559594472175,817046.3563433418,263.4764986739028,10753.995811367984,263.4764986738919,284.0957870311104,172.47346317011397,0.5508450011079257,0.00017763338772280868,0.007250243255644988,0.00017763338772291623,0.00019153471881606083,0.00011627999350762104,Random Restart Hill Climbing with Simulated Annealing
3,0.4,40.0,1.7221718629201253,0.01892598867416395,816716.9244357982,326.3714517094195,13030.700704849709,326.37145170951044,0.0,0.0,0.5506229012012717,0.00022003657599434234,0.00878517637153952,0.00022003657599443775,0.0,0.0,Random Restart Hill Climbing with Simulated Annealing
4,0.5,50.0,2.0757495005925497,0.0030247847239177617,816782.0342598176,64.74142621608917,10290.938655385955,153.32378829860681,244.2138916667318,155.61893403204158,0.5506667976348163,4.364806319601122e-05,0.0069380544580086795,0.00010336946206235351,0.00016464671848949734,0.0001049168278198303,Random Restart Hill Climbing with Simulated Annealing
5,0.6,60.0,2.5404319246610005,0.004809800783792895,817056.9297852764,499.7908773304662,11344.552916547344,843.4601619187342,366.16397683834657,366.16397683834657,0.5508521296234486,0.00033695432852676177,0.007648391324883934,0.0005686529414389487,0.0002468643237452278,0.0002468643237452278,Random Restart Hill Climbing with Simulated Annealing
6,0.7,70.0,2.9944479703903197,0.01675113836924247,817851.871083594,347.55005149845965,11187.014854243607,347.5500514985961,1417.07700904191,545.0855482781772,0.5513880716014684,0.00023431498961634656,0.007542180638757607,0.0002343149896165183,0.0009553800473564379,0.00036749157145623634,Random Restart Hill Climbing with Simulated Annealing
7,0.8,80.0,3.5520116051038104,0.014684140682220459,817235.6520473678,233.83561512513552,11118.2336013846,21.702565375204358,795.902749413508,382.0687670150073,0.5509726224986635,0.00015764978164656274,0.007495808962275393,1.463166631285491e-05,0.0005365901793438156,0.0002575871843203533,Random Restart Hill Climbing with Simulated Annealing
8,0.9,90.0,4.004579559961955,0.020643655459085863,817160.2509731296,300.80123172479216,11864.88614622557,1059.2373987524388,674.0050609844038,674.0050609844038,0.5509217878006079,0.00020279737316775126,0.007999195114966742,0.0007141279335736413,0.00045440789948114553,0.00045440789948114553,Random Restart Hill Climbing with Simulated Annealing
9,1.0,100.0,4.355899822711945,0.0162776152292885,817043.6718089883,126.4896758068353,11048.133770633107,982.4623501889964,580.9757506422466,10.806910206913017,0.5508431912200076,8.527815474490552e-05,0.007448548312927678,0.0006623669148962397,0.0003916884097476144,7.285917645532853e-06,Random Restart Hill Climbing with Simulated Annealing
10,2.0,200.0,9.045965929826101,0.06211289167404033,818323.7445929128,102.89294296724256,11313.049392372983,101.18186265810982,1657.2337373933988,39.01269387512002,0.5517062043019516,6.936945846802711e-05,0.0076271519439430596,6.821586414931281e-05,0.0011172914643376069,2.630199282332166e-05,Random Restart Hill Climbing with Simulated Annealing
